الفئة,المنتج,السعر
اللحوم والدواجن,الدواجن الطازجة / كيلو,119.31 جنيه
اللحوم والدواجن,+2.432.08 %,غير متاح
اللحوم والدواجن,الدواجن الطازجة / كيلو,90 جنيه
اللحوم والدواجن,00 %,غير متاح
اللحوم والدواجن,الدواجن الطازجة / كيلو,108.89 جنيه
اللحوم والدواجن,+1.221.13 %,غير متاح
اللحوم والدواجن,اللحوم  الطازجة / كيلو,341.13 جنيه
اللحوم والدواجن,+20.686.45 %,غير متاح
اللحوم والدواجن,لحم قطع  / كيلو,286.71 جنيه
اللحوم والدواجن,-17.045.61 %,غير متاح
اللحوم والدواجن,الدواجن الطازجة / كيلو,106 جنيه
اللحوم والدواجن,+72.25214.07 %,غير متاح
الألبان ومنتجاتها,الجبن الأبيض / كيلو,138.49 جنيه
الألبان ومنتجاتها,+5.44.06 %,غير متاح
الألبان ومنتجاتها,الجبن الرومي / كيلو,268.92 جنيه
الألبان ومنتجاتها,+6.412.44 %,غير متاح
الألبان ومنتجاتها,اللبن السائب / كيلو,31.02 جنيه
الألبان ومنتجاتها,+0.772.55 %,غير متاح
الألبان ومنتجاتها,المسلى الصناعي / كيلو,100.13 جنيه
الألبان ومنتجاتها,-0.770.76 %,غير متاح
الألبان ومنتجاتها,المسلى البلدي / كيلو,333.28 جنيه
الألبان ومنتجاتها,+2.840.86 %,غير متاح
الألبان ومنتجاتها,اللبن المعبأ / لتر,43.36 جنيه
الألبان ومنتجاتها,+0.320.74 %,غير متاح
الألبان ومنتجاتها,زبدة بقري مزارع / كيلو,180.22 جنيه
الألبان ومنتجاتها,+7.324.23 %,غير متاح
الألبان ومنتجاتها,لبن مجفف(بودرة - نيدو)  / جرام,141.3 جنيه
الألبان ومنتجاتها,+12.339.56 %,غير متاح
الألبان ومنتجاتها,جبنه بيضاء ( ثلاجة) 1 كجم / كيلو,138.71 جنيه
الألبان ومنتجاتها,+6.695.07 %,غير متاح
الألبان ومنتجاتها,جبنه بيضاء( اسطنبولى) 1كجم / كيلو,163.54 جنيه
الألبان ومنتجاتها,+8.485.47 %,غير متاح
الألبان ومنتجاتها,المسلى الصناعي / كيلو,90 جنيه
الألبان ومنتجاتها,00 %,غير متاح
الألبان ومنتجاتها,الجبن الأبيض / كيلو,312.43 جنيه
الألبان ومنتجاتها,+2.430.78 %,غير متاح
الألبان ومنتجاتها,الجبن الرومي / كيلو,245.75 جنيه
الألبان ومنتجاتها,-14.255.48 %,غير متاح
الألبان ومنتجاتها,اللبن السائب / كيلو,28.55 جنيه
الألبان ومنتجاتها,-2.788.87 %,غير متاح
الألبان ومنتجاتها,زبدة طبيعي / كيلو,240 جنيه
الألبان ومنتجاتها,-6020 %,غير متاح
الألبان ومنتجاتها,المسلى الصناعي / كيلو,102.41 جنيه
الألبان ومنتجاتها,+17.4120.48 %,غير متاح
الألبان ومنتجاتها,المسلى البلدي / كيلو,305 جنيه
الألبان ومنتجاتها,+5522 %,غير متاح
الألبان ومنتجاتها,اللبن المعبأ / لتر,41.72 جنيه
الألبان ومنتجاتها,-0.421 %,غير متاح
الألبان ومنتجاتها,جبنة عبور لاند 500 جرام  / 500 جرام,45.29 جنيه
الألبان ومنتجاتها,+0.290.64 %,غير متاح
الألبان ومنتجاتها,زبدة صفراء نيوزيلاندي / كيلو,319.64 جنيه
الألبان ومنتجاتها,+103.6447.98 %,غير متاح
الألبان ومنتجاتها,زبدة بقري مزارع / كيلو,178.05 جنيه
الألبان ومنتجاتها,-21.9510.98 %,غير متاح
الألبان ومنتجاتها,زبدة طبيعي / كيلو,250 جنيه
الألبان ومنتجاتها,+104.17 %,غير متاح
الأسماك,الجبن الأبيض / كيلو,138.49 جنيه
الأسماك,+5.44.06 %,غير متاح
الأسماك,الجبن الرومي / كيلو,268.92 جنيه
الأسماك,+6.412.44 %,غير متاح
الأسماك,اللبن السائب / كيلو,31.02 جنيه
الأسماك,+0.772.55 %,غير متاح
الأسماك,المسلى الصناعي / كيلو,100.13 جنيه
الأسماك,-0.770.76 %,غير متاح
الأسماك,المسلى البلدي / كيلو,333.28 جنيه
الأسماك,+2.840.86 %,غير متاح
الأسماك,اللبن المعبأ / لتر,43.36 جنيه
الأسماك,+0.320.74 %,غير متاح
الأسماك,زبدة بقري مزارع / كيلو,180.22 جنيه
الأسماك,+7.324.23 %,غير متاح
الأسماك,لبن مجفف(بودرة - نيدو)  / جرام,141.3 جنيه
الأسماك,+12.339.56 %,غير متاح
الأسماك,جبنه بيضاء ( ثلاجة) 1 كجم / كيلو,138.71 جنيه
الأسماك,+6.695.07 %,غير متاح
الأسماك,جبنه بيضاء( اسطنبولى) 1كجم / كيلو,163.54 جنيه
الأسماك,+8.485.47 %,غير متاح
الأسماك,المسلى الصناعي / كيلو,90 جنيه
الأسماك,00 %,غير متاح
الأسماك,الجبن الأبيض / كيلو,312.43 جنيه
الأسماك,+2.430.78 %,غير متاح
الأسماك,الجبن الرومي / كيلو,245.75 جنيه
الأسماك,-14.255.48 %,غير متاح
الأسماك,اللبن السائب / كيلو,28.55 جنيه
الأسماك,-2.788.87 %,غير متاح
الأسماك,زبدة طبيعي / كيلو,240 جنيه
الأسماك,-6020 %,غير متاح
الأسماك,المسلى الصناعي / كيلو,102.41 جنيه
الأسماك,+17.4120.48 %,غير متاح
الأسماك,المسلى البلدي / كيلو,305 جنيه
الأسماك,+5522 %,غير متاح
الأسماك,اللبن المعبأ / لتر,41.72 جنيه
الأسماك,-0.421 %,غير متاح
الأسماك,جبنة عبور لاند 500 جرام  / 500 جرام,45.29 جنيه
الأسماك,+0.290.64 %,غير متاح
الأسماك,زبدة صفراء نيوزيلاندي / كيلو,319.64 جنيه
الأسماك,+103.6447.98 %,غير متاح
الأسماك,زبدة بقري مزارع / كيلو,178.05 جنيه
الأسماك,-21.9510.98 %,غير متاح
الأسماك,زبدة طبيعي / كيلو,250 جنيه
الأسماك,+104.17 %,غير متاح
الفاكهة,الموز البلدي / كيلو,28.02 جنيه
الفاكهة,+0.712.6 %,غير متاح
الفاكهة,التفاح المحلي / كيلو,51.3 جنيه
الفاكهة,-1.963.68 %,غير متاح
الفاكهة,الخوخ / كيلو,38.7 جنيه
الفاكهة,-0.41.02 %,غير متاح
الفاكهة,البطيخ / واحدة,73.4 جنيه
الفاكهة,-0.951.28 %,غير متاح
الفاكهة,البرقوق / كيلو,50.59 جنيه
الفاكهة,+0.210.42 %,غير متاح
الفاكهة,نبق / كيلو,42.9 جنيه
الفاكهة,+1.844.48 %,غير متاح
الفاكهة,موز مغربي / كيلو,26.18 جنيه
الفاكهة,+0.120.46 %,غير متاح
الفاكهة,موز مستورد / كيلو,38.79 جنيه
الفاكهة,+3.279.21 %,غير متاح
الفاكهة,موز بيكو / كيلو,27.38 جنيه
الفاكهة,+1.676.5 %,غير متاح
الفاكهة,مانجو بلدي / كيلو,38.91 جنيه
الفاكهة,-1.694.16 %,غير متاح
الفاكهة,الموز البلدي / كيلو,26.5 جنيه
الفاكهة,+21.5430 %,غير متاح
الفاكهة,التفاح المحلي / كيلو,50 جنيه
الفاكهة,+39354.55 %,غير متاح
الفاكهة,الخوخ / كيلو,18 جنيه
الفاكهة,+880 %,غير متاح
الفاكهة,البطيخ / واحدة,51 جنيه
الفاكهة,+31155 %,غير متاح
الفاكهة,البرقوق / كيلو,50 جنيه
الفاكهة,+40400 %,غير متاح
الفاكهة,نبق / كيلو,12 جنيه
الفاكهة,+19.09 %,غير متاح
الفاكهة,موز مستورد / كيلو,20 جنيه
الفاكهة,+2.514.29 %,غير متاح
الفاكهة,مانجو بلدي / كيلو,21.25 جنيه
الفاكهة,+7.7557.41 %,غير متاح
الفاكهة,لارنج / كيلو,5.5 جنيه
الفاكهة,-5.550 %,غير متاح
